.NET技术	Microsoft .Net Technology
船舶动力装置动态仿真	Dynamic Simulation for Marine Power Plant
船舶动力装置控制理论	Ship Power Equipment Control Theory
船舶辅机	Ship's Auxiliary Machinery
船舶货运	Cargo Transportation By Ship
船舶积载	ship cargo stowage
船舶可靠性	Ship Reliability
船舶流体力学	Marine Fluid Mechanics
船舶轮机专业课程设计	Professional Course Project
船舶贸易与经营	Shipping Trade and Marketing
船舶设备	Ship Equipment
船舶设计原理	Basic Ship Design
船舶设计原理	Foundation of Ship Design
船舶设计原理（A类）	Basic Ship Design (A)
船舶设计原理（B类）	Basic Ship Design (B)
船舶设计原理课程设计	Course Design of Ship Design Theory
船舶与海洋工程导论	Introduction to Naval Archite
船舶与海洋工程导论	Introduction to Naval Architecture and ocean Engineering
船舶与海洋工程法规	Rules for Ships and Ocean Str
船舶与海洋工程法规	Rules for Ships And Ocean Structures
船舶与海洋工程结构理论	Ship and Ocean Structures Mechanics
船舶与海洋工程结构设计	Ship and Ocean Structure Design
船舶与海洋工程结构设计课程设计	Course Design for Ship and Ocean Structure Design
船舶与海洋工程前沿	Frontiers of Naval Architecture and Ocean Engineering
船舶与海洋工程试验研究	Marine Engineering Lab
船舶与海洋工程试验研究	Marine Engineering Lab
船舶原理	Principles of Naval Architecture
船舶原理(1)	principles of naval architecture I
船舶原理(2)	Principles of Naval Architecture II
船舶原理（2）（推进、操纵）	Principles of Naval Architecture II
船舶原理（3）	Principles of Naval Architecture III
船舶原理（A类）	Principles of Naval Architecture
船舶原理（B类）（1）	Principles of Naval Architecture I
船舶原理（B类）（2）	Principles of Naval Architecture II
船舶原理（C类）	Principles of Naval Architecture
船舶原理与结构	Principles and Structure of Naval Architecture
船舶主机	Marine Engine
船工认识实习	Cognitive Practice
船体构造与制图	Ship Construction and Drawing
船体振动	Ship Vibrations
船艺学	Seamanship
创新能力培养	Training of Innovation Ability
创新能力培养1	Training of Innovation Ability I
创新能力培养2	Training of Innovation Ability II
创新设计与制造	Innovation Design and Making
创新实践（软件工程与实践）	Innovation Practice(Software Engineering and Practice)
创新思维与现代设计	Creative Thinking and Modern Design
创新思维与现代设计	Innovative Thinking and Modern Design
创新与创业	Innovation and Entrepreneurship
创新与创业（1）	Innovation and Entrepreneurship I
创新与创业（2）	Innovation and Entrepreneurship II
创新与技术创业	Innovation and Technological Entrepreneurship
创业	Start-up
创业与创新管理	Management on Entrepreneurship and Innovation
创意与策划	Advertisment Writing
吹奏乐艺术	Arts of Play Wind Instrument
从环境监测谈科学研究	Viewpoints of Scientific Research from the Aspect of Environmental Monitoring
从手工创意到数字模型：技术与实践	From Manual Creativity to Digital Model: Technology and Practice
从细胞到分子	From Cell to Molecular
存储技术基础	Storage Technology Foundations
打击乐教程	Tutorial of Strike Music
大功率电子学和灵活交流输电技术	Power Electronics & Flexible Alternating Current Transmission Systems
大国战略	State Strategy
大国战略研究	State Strategy
大跨空间结构	Space Structure
大气污染控制工程	Air Pollution Control Engineering
大气污染控制工程（1）	Air Pollution Control Engineering I
大气污染控制工程（2）	Air Pollution Control Engineering II
大气污染控制工程D	Air Pollution Control Engineering
大气污染控制课程设计	Course Project on Air Pollution Control
大型工程软件应用	Application of Engineering Software package
大型基础应用课程设计	Basic Application Laboratory
大型系统软件课程设计	Project Workshop on System Software
大型系统软件课程设计（1）	Course Design on System Software I
大型系统软件课程设计（2）	Course Design on System Software II
大型系统软件课程设计（A类）	Project Workshop on System Software
大型系统软件课程设计（B类）（1）	Course Design on System Software I
大型系统软件课程设计（B类）（2）	Course Design on System Software II
大型应用软件课程设计	Application Project Laboratory
大型应用软件课程设计	Project Workshop on Application Software
大型应用软件课程设计（1）	Course Design on Application Software I
大型应用软件课程设计（2）	Course Design on Application Software II
大型应用软件课程设计（A类）	Course Design on Application Software (A)
大型应用软件课程设计（B类）（1）	Course Design on Application Software I
大型应用软件课程设计（B类）（2）	Course Design on Application Software II
大型硬件系列课程设计	Hardware Series Laboratory
大型硬件系列课程设计（1）	Hardware Series Laboratory (1)
大型硬件系列课程设计（2）	Hardware Series Laboratory (2)
大型硬件系列课程设计（3）	Hardware Series Laboratory (3)
大型硬件系列课程设计【计算机组成】	Hardware Curricula Design(Computer Organization)
大型硬件系列课程设计【网络实验】	Hardware Series Laboratory(Computer Network Lab)
大学代数	Advanced Algebra
大学代数（1）	Advanced Algebra I
大学代数（2）	Advanced Algebra I
大学化学	Chemistry
大学化学	College Chemistry
大学化学（J类）	Chemistry
大学化学实验	Chemistry Lab.
大学化学实验（J类）	Chemistry Lab
大学化学原理	Chemistry Principles
大学人文	College Humanism
大学人文	University Humanities
大学日语基础（1）	College Japanese I
大学日语基础（2）	College Japanese II
大学生成功就业指导	Success Employment Training
大学生传媒素养	ON Media Literacy Of Students
大学生传媒素养研究(B)	ON Media Literacy Of Students(B)
大学生创业	Entrepreneurship
大学生沟通训练	The Training of communication
大学生健康导论	Introduction to health of student
大学生人际交往训练	Training of Human Relationship
大学生生涯发展导航	Undergraduate Career Development
大学生生涯规划	Career Planning of College Student
大学生心理发展	Phychology and Life
大学生心理学	Psychology of Undergraduates
大学生职业发展与就业指导	Career Development & Guidance
大学实用写作	Practical Writing
大学数学基础	Fundamentals of University Mathematics
大学文科数学	Mathematics for Arts
大学物理	Physics
大学物理(1)	Physics I
大学物理（A类）（1）	Physics I
大学物理（A类）（2）	Physics II
大学物理（B类）（1）	Physics I
大学物理（B类）（2）	Physics II
大学物理（C类）	Physics
大学物理（D类）（1）	Physics
大学物理（D类）（2）	Physics
大学物理(二)	Physics II
大学物理(一)	Physics I
大学物理*	Physics
大学物理实验	Physics Experiment
大学物理实验（1）	Physics Lab I
大学物理实验（2）	Physics Lab II
大学物理实验(二)	Physics Lab II
大学物理实验(三)	Physics Lab III
大学物理实验(一)	Physics Lab I
大学英语	University English
大学英语 （4-能力）	University English IV
大学英语（1）	University English I
大学英语（1）（医）	University English I
大学英语（2）	University English II
大学英语（3）	University English III
大学英语（4）	University English IV
大学英语IV	University English IV
大学语文	Chinese
大学语文	New University Language and Literature
大众传播心理学	Psychics of Propagation
大众传播与社会	Mass Communication and Society
代数（1）	Advanced Algebra I
代数（1）*	Advanced Algebra I
代数（2）	Advanced Algebra II
代数（2）*	Advanced Algebra II
代数表示论	Representation Theory of Algebra
代数数论	Algebraic Number Theory
代数拓扑初步	Algebra Topology
代数学及其在信息科学中的应用	Algebra and its Application in Information Science
单片机模糊逻辑控制	Micro_controller Fuzzy Logic Control
单片机模糊逻辑控制	Micro-controller Fuzzy Logic Control
单片机实验	Single-chip Microcomputers Lab.
单片机系统仿真技术与工业控制实践	Simulation Technology and Industrial Control Experiments of MCU RTOS Systems
单片机系统设计	Design of MCU System
单片机应用系统设计	Single-chip Microcomputer Application System Design
单片机原理	Principles of Single-chip Microcomputers
单片机原理应用技术	Principles and Applications Single-chip Microcomputer
单片机原理与接口技术	Principles of Single-chip Microcomputers and its Interface
单片机原理与应用技术	Principles and Applications of Single-Chip Microcomputers
单元操作	Unit Operation
弹性理论（1）	Elasticity I
弹性理论（2）	Elasticity II
弹性理论(二)	Elasticity II
弹性理论(一)	Elasticity I
弹性力学	Elastic Mechanics
弹性力学及有限元	Elastic Mechanics and Finite Element Analysis
淡水养殖	Fresh Water Cultivation
蛋白质组学	Proteomics
当代传媒文化研究	Chinese Media and Popular Culture
当代国际关系	Contemproary International Relation
当代国际问题研究	Contemproary International Problems Research
当代话题	Contemporary Topics
当代建筑与思潮	Modern Architectural Theories
当代经济管理	Modern Economics and management
当代美国公共经济	Economics of the Public Sector in the United States
当代欧洲国际关系	Modern European International Relationship
当代世界经济与政治	Contemporary World Economics and Politic
当代世界经济与政治	Contemporary World Economics and Politics
当代物理前沿(*)	Frontiers of Modern Physics
当代哲学	Contemporary Philosophy
当代中国公共政策导论	Intoduction to Modern－Chinese Public Policy
当代中国国际环境	Chinese International Environment
当代中国社会问题	Modern Social Problem in China
当代中国社会问题	Social Problem in Contemporary China
当代中国外交	Modern－China Diplomatism
当代中国外交经典案例分析	Contemporray China Foreign Policy
当代中国外交史	History of Modern－China Diplomatism
当代中国文学专题	Modern Chinese Literature
当代中国影视文化	Culture of Film and Television in the Present Age China
当代中国政府体制	China Government System
当今中国大众传媒	Modern Chinese Mass Communication
导波光学	Guided Wave Optics
导波光学（*）	Guided Wave Optics
倒立摆控制系统	Inverted Pendulum Control System
倒立摆系统课程设计	Course Design on Inverted Pendulum
倒立摆系统课程设计	Course Design on Inverted Pendulum Systems
道路工程	Roadway Engineering
道路勘测设计	Design of Roadway Survey
德国概况	Introduction to Germany
德国历史	The History of Germany
德国社会史	Social History of Germany
德汉互译（笔译）	German-Chinese Translation
德汉互译（口译）	German-Chinese Interpretation
德语	German
德语（1）	German I
德语（J类）	German
德语（J类）（1）	German I
德语（J类）（2）	German II
德语(上)	German I
德语(下)	German II
德语报刊阅读	German Newspaper Reading
德语毕业论文	Undergraduate Project (Thesis)
德语词汇学	German Lexicology
德语泛读（1）	Extensive German Reading I
德语泛读（2）	German Reading(2)
德语高级口译	German Advanced Interpretation
德语高级视听说（1）	Listening and Speaking in German: An Advanced Course I
德语高级视听说（2）	Listening and Speaking in German: An Advanced Course II
德语国家国情学	National Condition of German Speaking Lands
德语基础	Fundamentals of German
德语基础（2）	Fundamentals of German II
德语基础（二）	Fundamentals of German II
德语口语	German Speaking
德语口语（1）	German Speaking I
德语口语（2）	German Speaking II
德语口语（3）	German Speaking III
德语视听说（1）	Audio-Visual German I
德语视听说（2）	Audio-Visual German II
德语视听说（3）	Audio-Visual German III
德语视听说（4）	Audio-Visual German IV
德语听说	German Listening and Speaking
德语文学导论	Introduction to German Literature
德语文学选读	Selected Reading of German Literature
德语写作	German Writing
德语写作（1）	German Writing I
德语写作（2）	German Writing II
德语演讲比赛	The German Speaking Contest
德语语法	German Grammar
德语专业实习	Professional Practice
灯具与家具设计	Design of Lamps&Furnishings
邓小平理论（一）	Introduction to Deng Xiaoping TheoryI
邓小平理论概论	Introduction to Deng Xiaoping Theory
低碳能源	Introduction of Low Carbon Energy
低温技术及其应用	Cryogenic Technology and Applications
低温技术与应用B	Cryogenic Technology and Applications
低温科学和技术	The Wonders of the Low Temperature World(A)
笛子演奏与乐理基础	Flute Performance and Music Fundamentals
地理摄影与赏析	Geographic Photography & Appreciation
地球环境与人类健康	Earth Environment and Human Health
地球科学	Earth Science
地球生命	Life on the Earth
地下结构	Underground Structure
地下结构	Underground Structures
地下空间开发	Development of Underground Space
第二外语（德语）（1）	German I (as a second foreign language)
第二外语（德语）（2）	German II (as a second foreign language)
第二外语（德语）（3）	German III (as a second foreign language)
第二外语（德语）（4）	German IV (as a second foreign language)
第二外语(二)	The Second Foreign Language II
第二外语（法语）（1）	French I
第二外语（法语）（2）	French II
第二外语（法语）（3）	French III
第二外语（法语）（4）	French IV
第二外语（日语）（1）	The Second Foreign Language I
第二外语（日语）（2）	The Second Foreign Language II
第二外语（日语）（3）	The Second Foreign Language III
第二外语（日语）（4）	The Second Foreign Language IV
第二外语(三)	The Second Foreign Language III
第二外语(四)	The Second Foreign Language IV
第二外语(一)	The Second Foreign Language I
电磁场	Electromagnetic Fields
电磁场概论	General Theory of Electromagnetic Field
电磁场数值计算	Numerical Calculation of Electro_Magnetic Field
电磁场数值计算	Numerical Computation of Electro-Magnetic Field
电磁场与波	Electromagnetic Fields and Waves
电磁场与电磁波	Electromagnetic Fields and Waves
电磁兼容技术	Technology of Electromagnetic Compatibility
电磁学	Electromagnetism
电磁学（J类）（1）	Electromagnetics I
电磁学（J类）（2）	Electromagnetics II
电动力学	Electrodynamics
电工技术	Electrical Engineering
电工实习	Electrician Practice
电工实验	Electrician Practice
电工与电子技术	Electrical and Electronic Technology
电工与电子技术（A类）	Electrical and Electronic Technology
电工与电子技术（A类）实验	Electrical and Electronic Technology Lab.
电工与电子技术（B类）	Electrical and Electronic Technology
电工与电子技术（B类）实验	Electrical and Electronic Technology Lab.
电工与电子技术（C类）	Electrical and Electronic Technology
电工与电子技术（C类）实验	Electrical and Electronic Technology Lab.
电工与电子技术（D类）	Electrical and Electronic Technology
电工与电子技术（D类）实验	Electrical and Electronic Technology Lab.
电工与电子技术（E类）	Electrical and Electronic Technology
电工与电子技术（E类）实验	Electrical and Electronic Technology Lab.
电工与电子技术（G类）	Electrical and Electronic Technology
电工与电子技术（G类）实验	Electrical and Electronic Technology Lab.
电工与电子技术（H类）	Electrical and Electronic Technology
电工与电子技术（H类）实验	Electrical and Electronic Technology Lab.
电工与电子技术实验	Electrical and electronic Engineering(Experiment)
电工与电子技术实验	Electrical and Electronic Technology Lab.
电工与电子技术实验	Electron & Electronics Lab.
电工与电子技术实验	Experimental Electronics Tech
电化学测量及实验	Electrochemical Measurement and Lab.
电化学动力学	Electrochemical Kinetics
电化学工程原理	Electrochemical Theory
电化学能量储存与转化	Electrochemical Energy Storage and Conversion
电化学原理	Electrochemical Principles
电机的DSP控制课程设计	Course Design on DSP Control of Electrical Machinery
电机控制基础	Fundamentals of Electrical Machinery Control
电机控制基础	Motor Control Basis
电机控制技术	Control Technique of Electrical Machinery
电机控制系统	Electrical Machinery Control System
电机控制系统	Motor Control System
电机设计	Design of Electric Machinery
电机设计	Design of Electrical Machines
电机学	Electrical Machinery Theory
电机学实验	Experiment in Electrical Machinery Theory
电力电子技术	Power Electronics Technology
电力电子技术 （B组）	Power Electronics Technology
电力电子技术基础	Fundamentals of Power Electronics Technology
电力电子课程设计	Power Electronics Course Design
电力电子学	Power Electronics
电力通信及调度自动化	Power System Communication and Dispatching Automatic
电力通信系统及调度自动化	Power System Communication & Automatic Dispatching
电力拖动与控制	Power Drive and Control
电力系统潮流计算的计算机分析	Computer Analysis of Power Flow
电力系统潮流计算机分析	Computer Analysis of Power Flow
电力系统继电保护	Relay Protection of Power System
电力系统优化运行与市场化	Electrical Power System Optimization and Marketing
电力系统暂态分析	Transient Analysis of Power System
电力系统自动化	Electrical Power System Automation
电力系统自动装置原理	The Principle of Electric Power System Automatic Equipment
电力系统自动装置原理	The Principle of Electrical Power System Automatic Equipment
电路CAD课程设计	Project Workshop of Circuit CAD
电路CAD与加工实践	Practice of Circuit CAD and Manufacture
电路的计算机辅助分析	Computer Aided Analysis of Circuits
电路分析基础	Experiment of Circuits Analysis Fundamentals
电路分析基础	Fundamentals of Circuits Analysis
电路分析基础实验	Experiment of Circuits Analysis Fundamentals
电路计算机辅助设计	Circuit Computer Aided Design
电路计算机辅助设计CAD	Computer Aided Design of Circuits
电路计算机辅助设计与分析	Circuit Computer Aided Design & Analysis
电路理论实验	Electron Circuit Lab.
电路理论实验	Lab.of Basic Circuit Theory
电路设计导论	Intro to Circuits
电路与电子技术	Circuits and Electronic Technology
电路与电子技术	Circuits and Electronics
电路与电子技术	Circuits and Electronics Technology
电路与电子技术（1）	Circuit and Electronics I
电路与电子技术（2）	Circuit and Electronics II
电路与电子技术基础	Circuits and Electronics Technology
电路与电子技术实验	Circuit and Electronics Lab.
电路与电子技术实验	Lab of Circuits and Electronics Technolgy
电路与电子技术实验	Lab of Circuits and Electronics Technologys
电路与电子技术实验（1）	Circuits and Electronics Technologys Lab.I
电路与电子技术实验（2）	Circuits and Electronics Technologys Lab.II
电路与电子技术一	Circuits and Electronics I
电气测量和试验技术	Electrical Measurement and Experimentation Technology
电气传动基础	Electric Drive Technology
电气工程基础	Fundaments of Electric Power Engineering
电气工程基础（1）	Fundamentals of Electrical Engineering I
电气工程基础（2）	Fundamentals of Electrical Engineering II
电气工程基础（二）	Fundamentals of Electrical Engineering II
电气工程基础（一）	Fundamentals of Electrical Engineering I
电气控制综合实验	Integrated Experiment of Electric Control
电气设备的绝缘检测与故障诊断	Insulation and Fault Diagnostics for Electrical Installations
电气设备的绝缘检测与故障诊断	Insulation Diagnostics and Trouble-Shooting for Electrical Installations
电气设备综合实验	Electrical Installations Lab.
电气系统综合实验	Electrical System Lab.
电气与电子测量技术	Electric and Electronic Measurement Technology
电气与电子测量技术	Electrical & Electronic Measurement Technology
电视报道	TV Reports
电视编辑	TV Edition
电视策划编导	Planning and Directing in TV
电视概论	Introduction to TV
电视广告	Advertising of TV
电视技术概论	Introduction to Tv Technology
电视节目主持	TV Program Emcee
电视摄录象基础	TV Shooting and Video Recording
电视摄像	Television Photography
电视文艺编导	TV Programming
电视新闻采编	TV News Interview and Edit
电视艺术鉴赏	Appreciate of TV Arts
电视原理	TV Principles
电视原理与实验	Television Principle and Experiments
电网规划	Power System Planing
电影100年	Films 100 Years
电影大师专题	Seminars on Film Master
电影理论与欣赏	Movie Theory and Enjoyment
电影美学导论	Introduction to Movie Appreciation
电影审美	Movie Aesthetic Judgment
电影艺术鉴赏	Cinematic Appreciate
电影艺术欣赏	Cinematic Appreciate
电与生活	Electric and life
电院科技创新（1）	Innovation of Science and Technology I
电院科技创新（2）	Innovation of Science and Technology II
电院科技创新（3）	Innovation of Science and Technology III
电院科技创新（4）	Innovation of Science and Technology IV
电院科技创新（5）	Innovation of Science and Technology V
电院科技创新（6）	Innovation of Science and Technology VI
电院科技创新（7）	Innovation of Science and Technology VII
电院科技创新（8）	Innovation of Science and Technology VII
电子编辑	Electronic Editing
电子薄膜材料与分析	Electronic Pellicle Material & Analysis
电子材料科学	Electronic Material Science
电子测量技术	Electronic Measurement
电子测量技术及仪器	Electronic Measurement and Instrument
电子电路	Electronic Circuits
电子电路实验	Experiments for Analog Circuits
电子技术	Electronic Technology
电子技术（1）(模电)	Electronic Technology I(Analog)
电子技术（2）(模电)	Electronic Technology (2)(Analog)
电子技术（2）(数电)	Electronic Technology II(Digital Circuits)
电子技术（I、II、III）	Electronic Technology(I、II、III)
电子技术（数电）	Electronic Technology (Digital Circuits)
电子技术Ⅰ	Electronic Technology I
电子技术Ⅱ	Electronic Technology II
电子技术I（模电）	Electronic Technology I(Analog Circuits)
电子技术II	Electronic Technology II
电子技术二	Electronic Technology II
电子技术基础	The Fundamental of Electronic Techniques
电子技术基础（模电）	Analog Electronic Technology
电子技术开放实验	Open Experiments of Electronics
电子技术课程设计	Electronics Technology Course Design
电子技术实验	Electronics Lab.
电子技术实验（二）	Electronics Lab II
电子技术实验（三）	Electronics Lab III
电子技术实验（一）	Electronics Lab I
电子技术实验I	Electronics Lab I
电子技术实验II	Electronics Lab II
电子技术一	Electronic Technology I
电子科技创新（3）	Innovation of Science and Technology III
电子科技创新（4）	Innovation of Science and Technology IV
电子商务	Electronic Business
电子商务	Electronic Commerce
电子商务（A类）	Electronic Business
电子商务（B类）	Electronic Business
电子商务概论	Electronic Business
电子商务概论	Introduction to electronic business
电子商务概论	Overview of Electronic Business
电子商务概论（A类）	Electronic Business
电子商务概论（B类）	Electronic Business
电子商务概论（C类）	Electronic Business
电子商务基础	Electronic Business
电子商务及实验	Electronic Business and Its Lab.
电子商务实验	Electronic Commerce Lab.
电子设计自动化技术及Multisim的应用	Electronic Design Automation and Application of Multisim
电子系统中的概率论与随机过程	Probability and Random Process in Electronic System
电子系统中的概率与随机过程	Probability and Random Process in Electronic System
电子线路计算机辅助设计	Computer Aided Design in Electronic Circuitry
电子与电工技术	Electronics and Electric Circuit
电子与电工技术(2)	Electronics and Electric Circuit
电子与电工技术实验	Electronics and Electric Circuit Lab.
电子政务	E-Goverment Affairs
电子政务与政府上网	E-Goverment Affairs
东方文学史论	Eastern Literature History
东西方文化概论	Introduction to Chinese and Western Culture
东西方文化概论	Introduction to East and West Culture
动画编剧	Animation Playwright
动画大师作品赏析	Master Appreciation of Animation
动画导论	Introduction to Animation
动画概论	Introduction to Animation
动画概论(B类)	Introduction to Animation
动画课程设计与制作	Animation Course Design and Development
动画造型概论	Introduction to Animation Mold-making
动力传动及设备	Power Transmission and Equipment
动力机械振动与噪声	Power Mechanical Vibration and Noise
动力设备力学基础	Fundamentals of Power Equipment Mechanics
动力系统	Dynamics System
动力系统(3)	Dynamics System III
动力系统仿真	Simulation of Control System
动力系统仿真基础	Simulation of Control System
动力系统及其应用	Dynamical Systems and Applications
动力系统及其应用	Dynamics System and its Application
动力系统及其应用	Dynamics Systerm and its Application
动力系统建模及其数值分析	Powertrain System Modeling and Numerical Analysis
动力学和振动导论	Introductory Dynamics and Vibration
动力学与振动导论	Intro to Dynamics and Vibrations
动力循环分析	Analysis of Power Cycle
动力装置	Power Plant
动力装置及自动化	Power Plant and its Automation
动力装置及自动化A	Power Plant and Its Automation
动力装置计算机动态仿真	Dynamic Simulation of Power Plant by Computer
动态测试与分析技术	Dynamic Measurements & Analysis Techniques
动态系统的建模、分析与控制	Dynamic Systems Modeling Analysis and Control
动态系统的建模、分析与控制	Dynamic Systems Modeling Analysis and Control(ME361)
动态系统建模、分析与控制	Dynamic Systems Modeling Analysis and Control
动态系统建模分析与控制	"Modeling, Analysis and Control of Dynamic Systems"
动物保护概论	Introduction to Animal Protection
动物病理学	Animal Pathology
动物产品安全	Production Safety of Animal
动物传染病学	Animal Infection Disease
动物繁殖学	Animal Reproduction
动物分类学	Animal Taxonomy
动物环境卫生学	Animal Environment Hygiene
动物疾病营养学	Plant Resources & Utilization
动物疾病诊断学	Animal Illness Diagnostics
动物寄生虫病学	Animal Phraseology
动物寄生虫学	Animal Phraseology
动物检疫学	Animal Quarantine
动物鉴赏	Animal Appreciation
动物鉴赏与保护	Animal Appreciation and Protection
动物解剖学	Animal Anatomy
动物解剖学实践	Animal Anatomy
动物解剖学实验	Animal Anatomy Lab
动物临床医学	Animal Clinical Medicine
动物临床诊断及内科学	Veterinary Internal Medicine and Clinical Diagnosis
动物免疫学	Animal Immunology
动物生产学	Animal Production
动物生产学1	Animal Production I
动物生产学2	Animal Production II
动物生产原理	Animal Production Theory
动物生理学	Animal Physiology
动物生物技术（1）	Subject Training
动物生物技术（2）	Animal Biotechnology II
动物生物技术（B类）	Animal Biotechnology
动物生物技术科技创新（1）	Innovation of Animal Biotechnology I
动物生物技术科技创新（2）	Innovation of Animal Biotechnology II
动物生物技术实验	Animal Biotechnology Lab.
动物生物技术系列讲座	Lectures on Animal Biotechnology
动物生物技术综合实验（1）	Animal Biotechnology Comprehensive Lab.
动物生物技术综合实验（2）	Integrated Experiments （2）in Animal Biotechnology
动物生物技术综合实验（3）	Integrated Experiments in Animal Biotechnology （III）
动物生物制品学	Animal Biologics
动物饲料学	Animal Feeding
动物外产科学	Animal Surgery and Obsterics
动物细胞工程	Animal Cell Engineering
动物行为与保护学	Animal Behavior and Protection
动物药理学	Animal Pharmacology
动物遗传学	Animal Genetics
动物营养学	Animal Nutrition
动物营养与饲料	Animal Nutrition and Feed
动物育种学	Animal Breeding
动物预防医学	Animal Preventive Medical Science
动物源性食品与人的健康	Animal Origin Feed and Human Health
动物运动和生长中的力学奥秘	Mechanical Mysteries of Animal's Motion and Growth
动物组织胚胎学	Animal Histology and Embryology
动物组织学与胚胎工程	Animal Tissue and Embryo Engineering
都市水利工程	Urban Hydraulic Engineering
毒理学	Toxicology
读谱与乐理	Read Music Sheet and Music Theory
对外汉语教学案例设计和分析	Project of Teaching Plan
对外汉语教学论	Theory of Teaching Chinese As a Foreign Language
对外汉语课堂教学的方法与技巧	Teaching Methodology
多边区域贸易组织专题	Multilateral Trading Organization
多彩的纳米世界	Nano World
多层次SOC设计和设计语言System C 2.0	Multi-layers SOC Design and System C 2.0
多刚体系统动力学	Dynamics of Multi-rigid-body System
多孔介质污染物迁移动力学	Contaminant Transport Dynamics in Porous Media
多媒体技术	Multimedia Technology
多媒体技术（A类）	Multimedia Technique
多媒体技术（B类）	Multimedia Technique
多媒体技术（C类）	Multimedia Technique
多媒体技术应用	Application of Multimedia Technology
多媒体技术与应用	The Application of Multimedia Technology
多媒体技术运用	The Application of Multimedia Technology
多媒体应用技术	The Application of Multimedia Technology
多媒体原理与技术	Multimedia Theory and Technology
多媒体运用技术	The Application of Multimedia Technology
多相流动基础	Fundamental of Multi-phase Flow
多相流动基础（双语）	Fundamental of Multi-phase Flow(Bilingual)
多元化纠纷解决机制	Alternative Dispute Resolution
多元统计	Multivariate Statistics
俄语	Russian
二维动画创作	Two-Dimensional Animation Design
二战与中国	The Second World War and China
发电厂热力系统	Power Plant Thermodynamics Systems
发电新技术	New Techniques for Electric Power Generation
发酵工程	Fermentation Engineering
发酵工艺学	Fermentation Technology
发音技巧	Pronunciation Skill
发育生物学	Developmental Biology
发展经济学	Economics of Development
发展经济学（A类）	Economics of Development
法理	Jurisprudence
法理学	Jurisprudence
法理学（B类）	Jurisprudence
法理学（J类）	Jurisprudence
法律基础	Fundamentals of Law
法律逻辑	Legal Logic
法律逻辑学	Legal Logic
法律社会学	Legal Sociology
法律思维与法学经典阅读	Thought of Law and Understanding of Classic Law BookS
法律文书	Legal Literacy
法律英语	Legal English
法律与公共政策	Law and Public Policy
法律与社会	Law and Society
法律职业道德与职业责任法	Law occupation morals
法律制度史	History of Legal System
法学（知识产权法）毕业论文	Undergraduate Project (Thesis)
法学基础理论	Basic Theory of Law
法学论文报告	Thesis Report
法学前沿问题讲座	Friontier Lecture of Law
法学前沿问题讲座（1）	Friontier Lecture of Law
法学前沿问题讲座（1）*	Friontier Lecture of Law
法学前沿问题讲座（2）	Friontier Lecture of Law
法学前沿问题讲座（2）*	Friontier Lecture of Law
法学专业实习	Professional Practice
法语入门(上)	Introductory French I
法语入门（下）	Introductory French II
翻译实习	Translation Practice
反不正当竞争法	Law for Countering Unfair Competition
反求设计与快速原型制造	Reverse Engineering & Rapid Prototype Manufacturing
反应堆工程学(Ⅰ)	Nuclear Reactor Engineering(Ⅰ)
反应堆工程学(Ⅱ)	Nuclear Reactor Engineering(Ⅱ)
反应堆工程学（二）	Nuclear Reactor Engineering II
反应堆工程学（一）	Nuclear Reactor Engineering I
反应设计与快速原型制造	Reverse Engineering & Rapid Prototype Manufacturing
泛函分析	Functional Analysis
饭店建筑装潢与设备	Hotel Architecture Decoration and Equipment
芳香植物及其利用	Fragrant Plant and its Application
芳香植物及其应用	Fragrant Plant and its Application
芳香植物精油与芳香疗法	Fragrant Plant and its Application
房产法	House Property law
房地产法	Real Estate Law
房地产经济学	Real Estate Economics
房地产经济学(B类）	Real Estate Economics
房地产经营与开发	Real Estate Management and Development
房地产经营与开发（选）	Real Estate Management and Development
房地产开发与经营管理	Real Estate Development and Management
房地产开发与经营管理课程设计	Course Design of Real Estate Development and Management
房屋建筑学	Building Construction
房屋建筑学概论	Building Construction
房屋建筑学课程设计	Course Project of Building Construction
飞行器结构	Aircraft Structure
飞行器设计	Aircraft Design
非线性编辑	Nonlinear Edit
非线性电子技术	Nonlinear Electronic Circuits
非线性动力学与经济学	Nonlinear Dynamics and Economics
非线性控制系统	Nonlinear Control System
非政府与非营利组织	Non-Government and Non-Profit Organization
非洲文明	Africa Civilization
废水生物处理新技术	New Biotechnology of Waste Water Treatment
分离工程	Modern separation technology
分析动力学	Analytical Dynamics
分析化学及实验	Analytic Chemistry and Experiment
分析力学	Analytical Mechanics
分子毒理学	Molecular Toxicology
分子模拟及计算机辅助药物设计	Molecular Simulation and Computer Aid Design of Drug
分子生物学	Molecular Biology
分子生物学（A类）	Molecular Biology
分子生物学（B类）	Molecular Biology
分子生物学（C类）	Molecular Biology
分子生物学（D类）	Molecular Biology
分子生物学（D类）实验	Molecular Biology Lab.
分子生物学（E类）	Molecular Biology
分子生物学（F类）	Molecular Biology
分子生物学实验	Molecular Biology Lab.
分子生物学实验（D类）	Molecular Biology Lab.
分子细胞生物学	Molecular Cell Biology
粉末冶金	Powder Metallurgy
粉末冶金	Power Metallurgy
风景旅游学	Scenic Tourism
风景写生	Landscape Sketching
风景写生(B类)	Landscape Sketching
风景与游憩设计	Scenery and Recreation Planning and Design
风景园林植物配置	Landscape Design with Plants
风险管理	Risk Management
风险投资和金融创新	Venture capital and the Finance of Innovation
